nazwa;powierzchnia;liczba_mieszkancow;zageszczenie_ludnosci
Stare Miasto;556,76;35 573;6 382,82
Grzegórzki;584,52;29 230;5 000,68
Prądnik Czerwony;643,79;47 775;7 420,90
Prądnik Biały;2341,87;69 135;2 952,13
Krowodrza;561,90;31 870;5 671,83
Bronowice;955,96;23 465;2 454,60
Zwierzyniec;2873,10;20 454;711,91
Dębniki;4618,87;59 395;1 295,92
Łagiewniki-Borek Fałęcki;541,51;14 859;2 743,99
Swoszowice;2560,40;25 608;1 000,16
Podgórze Duchackie;954,00;52 859;5 540,78
Bieżanów-Prokocim;1847,39;63 026;3 411,62
Podgórze;2566,71;34 045;1 326,41
Czyżyny;1225,68;26 699;2 178,30
Mistrzejowice;559,00;53 015;9 483,90
Bieńczyce;369,90;42 633;11 525,55
Wzgórza Krzesławickie;2381,55;20 303;852,51
Nowa Huta;6540,99;54 588;834,55
